SAMPLE_NAME	JC2084_S48_R1_001
GSP2_2_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_2_UNIQUE_AMBIG_START_SITES	0
GSP2_2_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_2_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_2_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_2_UNIQUE_START_SITES	61
GSP2_2_UNIQUE_START_SITES_PERCENT	0.576
GSP2_3_NAME	ALK_chr2_29432638_27_+_A1_GSP2
GSP2_3_TYPE	TARGET
GSP2_3_UNIQUE_READS	141
GSP2_3_RAW_READS	2325
GSP2_3_UNIQUE_READS_PERCENT	0.573
GSP2_3_UNIQUE_RNA_READS	0
GSP2_3_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_3_UNIQUE_RNA_START_SITES	0
GSP2_3_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_3_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_3_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_3_UNIQUE_DNA_READS	141
GSP2_3_UNIQUE_DNA_READS_PERCENT	1.081
GSP2_3_UNIQUE_DNA_START_SITES	75
GSP2_3_UNIQUE_DNA_START_SITES_PERCENT	1.147
GSP2_3_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	100.382978723
GSP2_3_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	86
GSP2_3_UNIQUE_AMBIG_READS	0
GSP2_3_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_3_UNIQUE_AMBIG_START_SITES	0
GSP2_3_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_3_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_3_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_3_UNIQUE_START_SITES	75
GSP2_3_UNIQUE_START_SITES_PERCENT	0.708
GSP2_4_NAME	ALK_chr2_29432692_21_-_A1_GSP2
GSP2_4_TYPE	TARGET
GSP2_4_UNIQUE_READS	124
GSP2_4_RAW_READS	4768
GSP2_4_UNIQUE_READS_PERCENT	0.504
GSP2_4_UNIQUE_RNA_READS	0
GSP2_4_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_4_UNIQUE_RNA_START_SITES	0
GSP2_4_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_4_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_4_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_4_UNIQUE_DNA_READS	64
GSP2_4_UNIQUE_DNA_READS_PERCENT	0.490
GSP2_4_UNIQUE_DNA_START_SITES	36
GSP2_4_UNIQUE_DNA_START_SITES_PERCENT	0.550
GSP2_4_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	108.046875
GSP2_4_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	90
GSP2_4_UNIQUE_AMBIG_READS	60
GSP2_4_UNIQUE_AMBIG_READS_PERCENT	0.557
GSP2_4_UNIQUE_AMBIG_START_SITES	21
GSP2_4_UNIQUE_AMBIG_START_SITES_PERCENT	0.471
GSP2_4_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	52.0
GSP2_4_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	52
GSP2_4_UNIQUE_START_SITES	57
GSP2_4_UNIQUE_START_SITES_PERCENT	0.538
GSP2_5_NAME	ALK_chr2_29443539_24_+_A1_GSP2
GSP2_5_TYPE	TARGET
GSP2_5_UNIQUE_READS	126
GSP2_5_RAW_READS	3040
GSP2_5_UNIQUE_READS_PERCENT	0.512
GSP2_5_UNIQUE_RNA_READS	4
GSP2_5_UNIQUE_RNA_READS_PERCENT	0.507
GSP2_5_UNIQUE_RNA_START_SITES	4
GSP2_5_UNIQUE_RNA_START_SITES_PERCENT	0.565
GSP2_5_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	144.25
GSP2_5_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	121.5
GSP2_5_UNIQUE_DNA_READS	122
GSP2_5_UNIQUE_DNA_READS_PERCENT	0.935
GSP2_5_UNIQUE_DNA_START_SITES	60
GSP2_5_UNIQUE_DNA_START_SITES_PERCENT	0.917
GSP2_5_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	93.2868852459
GSP2_5_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	76
GSP2_5_UNIQUE_AMBIG_READS	0
GSP2_5_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_5_UNIQUE_AMBIG_START_SITES	0
GSP2_5_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_5_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_5_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_5_UNIQUE_START_SITES	64
GSP2_5_UNIQUE_START_SITES_PERCENT	0.604
GSP2_6_NAME	ALK_chr2_29443634_21_-_A1_GSP2
GSP2_6_TYPE	TARGET
GSP2_6_UNIQUE_READS	141
GSP2_6_RAW_READS	6371
GSP2_6_UNIQUE_READS_PERCENT	0.573
GSP2_6_UNIQUE_RNA_READS	1
GSP2_6_UNIQUE_RNA_READS_PERCENT	0.127
GSP2_6_UNIQUE_RNA_START_SITES	1
GSP2_6_UNIQUE_RNA_START_SITES_PERCENT	0.141
GSP2_6_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	172.0
GSP2_6_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	172
GSP2_6_UNIQUE_DNA_READS	40
GSP2_6_UNIQUE_DNA_READS_PERCENT	0.307
GSP2_6_UNIQUE_DNA_START_SITES	26
GSP2_6_UNIQUE_DNA_START_SITES_PERCENT	0.398
GSP2_6_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	135.9
GSP2_6_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	108.5
GSP2_6_UNIQUE_AMBIG_READS	100
GSP2_6_UNIQUE_AMBIG_READS_PERCENT	0.929
GSP2_6_UNIQUE_AMBIG_START_SITES	38
GSP2_6_UNIQUE_AMBIG_START_SITES_PERCENT	0.853
GSP2_6_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	58.04
GSP2_6_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	54.5
GSP2_6_UNIQUE_START_SITES	65
GSP2_6_UNIQUE_START_SITES_PERCENT	0.613
GSP2_7_NAME	ALK_chr2_29443665_25_+_A1_GSP2
GSP2_7_TYPE	TARGET
GSP2_7_UNIQUE_READS	176
GSP2_7_RAW_READS	3197
GSP2_7_UNIQUE_READS_PERCENT	0.715
GSP2_7_UNIQUE_RNA_READS	3
GSP2_7_UNIQUE_RNA_READS_PERCENT	0.380
GSP2_7_UNIQUE_RNA_START_SITES	3
GSP2_7_UNIQUE_RNA_START_SITES_PERCENT	0.424
GSP2_7_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	189.666666667
GSP2_7_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	194
GSP2_7_UNIQUE_DNA_READS	147
GSP2_7_UNIQUE_DNA_READS_PERCENT	1.127
GSP2_7_UNIQUE_DNA_START_SITES	80
GSP2_7_UNIQUE_DNA_START_SITES_PERCENT	1.223
GSP2_7_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	99.0340136054
GSP2_7_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	83
GSP2_7_UNIQUE_AMBIG_READS	26
GSP2_7_UNIQUE_AMBIG_READS_PERCENT	0.242
GSP2_7_UNIQUE_AMBIG_START_SITES	6
GSP2_7_UNIQUE_AMBIG_START_SITES_PERCENT	0.135
GSP2_7_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	36.6153846154
GSP2_7_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	37
GSP2_7_UNIQUE_START_SITES	89
GSP2_7_UNIQUE_START_SITES_PERCENT	0.840
GSP2_8_NAME	ALK_chr2_29443742_25_-_A1_GSP2
GSP2_8_TYPE	TARGET
GSP2_8_UNIQUE_READS	147
GSP2_8_RAW_READS	4651
GSP2_8_UNIQUE_READS_PERCENT	0.597
GSP2_8_UNIQUE_RNA_READS	3
GSP2_8_UNIQUE_RNA_READS_PERCENT	0.380
GSP2_8_UNIQUE_RNA_START_SITES	3
GSP2_8_UNIQUE_RNA_START_SITES_PERCENT	0.424
GSP2_8_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	170.666666667
GSP2_8_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	119
GSP2_8_UNIQUE_DNA_READS	144
GSP2_8_UNIQUE_DNA_READS_PERCENT	1.104
GSP2_8_UNIQUE_DNA_START_SITES	71
GSP2_8_UNIQUE_DNA_START_SITES_PERCENT	1.086
GSP2_8_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	95.3402777778
GSP2_8_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	81.0
GSP2_8_UNIQUE_AMBIG_READS	0
GSP2_8_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_8_UNIQUE_AMBIG_START_SITES	0
GSP2_8_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_8_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_8_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_8_UNIQUE_START_SITES	74
GSP2_8_UNIQUE_START_SITES_PERCENT	0.698
GSP2_9_NAME	ALK_chr2_29445228_26_+_A1_GSP2
GSP2_9_TYPE	TARGET
GSP2_9_UNIQUE_READS	148
GSP2_9_RAW_READS	1533
GSP2_9_UNIQUE_READS_PERCENT	0.602
GSP2_9_UNIQUE_RNA_READS	17
GSP2_9_UNIQUE_RNA_READS_PERCENT	2.155
GSP2_9_UNIQUE_RNA_START_SITES	17
GSP2_9_UNIQUE_RNA_START_SITES_PERCENT	2.401
GSP2_9_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	169.647058824
GSP2_9_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	142
GSP2_9_UNIQUE_DNA_READS	118
GSP2_9_UNIQUE_DNA_READS_PERCENT	0.904
GSP2_9_UNIQUE_DNA_START_SITES	49
GSP2_9_UNIQUE_DNA_START_SITES_PERCENT	0.749
GSP2_9_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	94.8559322034
GSP2_9_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	75.0
GSP2_9_UNIQUE_AMBIG_READS	13
GSP2_9_UNIQUE_AMBIG_READS_PERCENT	0.121
GSP2_9_UNIQUE_AMBIG_START_SITES	6
GSP2_9_UNIQUE_AMBIG_START_SITES_PERCENT	0.135
GSP2_9_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	43.1538461538
GSP2_9_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	41
GSP2_9_UNIQUE_START_SITES	72
GSP2_9_UNIQUE_START_SITES_PERCENT	0.679
GSP2_10_NAME	ALK_chr2_29445305_21_-_A1_GSP2
GSP2_10_TYPE	TARGET
GSP2_10_UNIQUE_READS	132
GSP2_10_RAW_READS	2723
GSP2_10_UNIQUE_READS_PERCENT	0.537
GSP2_10_UNIQUE_RNA_READS	14
GSP2_10_UNIQUE_RNA_READS_PERCENT	1.774
GSP2_10_UNIQUE_RNA_START_SITES	14
GSP2_10_UNIQUE_RNA_START_SITES_PERCENT	1.977
GSP2_10_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	103.5
GSP2_10_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	94.0
GSP2_10_UNIQUE_DNA_READS	118
GSP2_10_UNIQUE_DNA_READS_PERCENT	0.904
GSP2_10_UNIQUE_DNA_START_SITES	63
GSP2_10_UNIQUE_DNA_START_SITES_PERCENT	0.963
GSP2_10_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	76.4576271186
GSP2_10_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	60
GSP2_10_UNIQUE_AMBIG_READS	0
GSP2_10_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_10_UNIQUE_AMBIG_START_SITES	0
GSP2_10_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_10_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_10_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_10_UNIQUE_START_SITES	77
GSP2_10_UNIQUE_START_SITES_PERCENT	0.727
GSP2_11_NAME	AR_chrX_66931434_20_+_A1_GSP2
GSP2_11_TYPE	TARGET
GSP2_11_UNIQUE_READS	120
GSP2_11_RAW_READS	4744
GSP2_11_UNIQUE_READS_PERCENT	0.488
GSP2_11_UNIQUE_RNA_READS	2
GSP2_11_UNIQUE_RNA_READS_PERCENT	0.253
GSP2_11_UNIQUE_RNA_START_SITES	2
GSP2_11_UNIQUE_RNA_START_SITES_PERCENT	0.282
GSP2_11_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	103.0
GSP2_11_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	103.0
GSP2_11_UNIQUE_DNA_READS	30
GSP2_11_UNIQUE_DNA_READS_PERCENT	0.230
GSP2_11_UNIQUE_DNA_START_SITES	24
GSP2_11_UNIQUE_DNA_START_SITES_PERCENT	0.367
GSP2_11_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	196.766666667
GSP2_11_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	186
GSP2_11_UNIQUE_AMBIG_READS	88
GSP2_11_UNIQUE_AMBIG_READS_PERCENT	0.817
GSP2_11_UNIQUE_AMBIG_START_SITES	40
GSP2_11_UNIQUE_AMBIG_START_SITES_PERCENT	0.898
GSP2_11_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	62.6818181818
GSP2_11_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	58.5
GSP2_11_UNIQUE_START_SITES	66
GSP2_11_UNIQUE_START_SITES_PERCENT	0.623
GSP2_12_NAME	AR_chrX_66931478_24_-_A1_GSP2
GSP2_12_TYPE	TARGET
GSP2_12_UNIQUE_READS	120
GSP2_12_RAW_READS	3818
GSP2_12_UNIQUE_READS_PERCENT	0.488
GSP2_12_UNIQUE_RNA_READS	1
GSP2_12_UNIQUE_RNA_READS_PERCENT	0.127
GSP2_12_UNIQUE_RNA_START_SITES	1
GSP2_12_UNIQUE_RNA_START_SITES_PERCENT	0.141
GSP2_12_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	67.0
GSP2_12_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	67
GSP2_12_UNIQUE_DNA_READS	7
GSP2_12_UNIQUE_DNA_READS_PERCENT	0.054
GSP2_12_UNIQUE_DNA_START_SITES	7
GSP2_12_UNIQUE_DNA_START_SITES_PERCENT	0.107
GSP2_12_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	350.285714286
GSP2_12_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	370
GSP2_12_UNIQUE_AMBIG_READS	112
GSP2_12_UNIQUE_AMBIG_READS_PERCENT	1.040
GSP2_12_UNIQUE_AMBIG_START_SITES	56
GSP2_12_UNIQUE_AMBIG_START_SITES_PERCENT	1.257
GSP2_12_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	83.0803571429
GSP2_12_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	75
GSP2_12_UNIQUE_START_SITES	64
GSP2_12_UNIQUE_START_SITES_PERCENT	0.604
GSP2_13_NAME	AR_chrX_66937337_20_+_A1_GSP2
GSP2_13_TYPE	TARGET
GSP2_13_UNIQUE_READS	113
GSP2_13_RAW_READS	3643
GSP2_13_UNIQUE_READS_PERCENT	0.459
GSP2_13_UNIQUE_RNA_READS	4
GSP2_13_UNIQUE_RNA_READS_PERCENT	0.507
GSP2_13_UNIQUE_RNA_START_SITES	4
GSP2_13_UNIQUE_RNA_START_SITES_PERCENT	0.565
GSP2_13_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	207.75
GSP2_13_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	218.0
GSP2_13_UNIQUE_DNA_READS	7
GSP2_13_UNIQUE_DNA_READS_PERCENT	0.054
GSP2_13_UNIQUE_DNA_START_SITES	7
GSP2_13_UNIQUE_DNA_START_SITES_PERCENT	0.107
GSP2_13_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	210.714285714
GSP2_13_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	214
GSP2_13_UNIQUE_AMBIG_READS	102
GSP2_13_UNIQUE_AMBIG_READS_PERCENT	0.947
GSP2_13_UNIQUE_AMBIG_START_SITES	47
GSP2_13_UNIQUE_AMBIG_START_SITES_PERCENT	1.055
GSP2_13_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	74.4509803922
GSP2_13_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	71
GSP2_13_UNIQUE_START_SITES	58
GSP2_13_UNIQUE_START_SITES_PERCENT	0.547
GSP2_14_NAME	AR_chrX_66937391_19_-_A1_GSP2
GSP2_14_TYPE	TARGET
GSP2_14_UNIQUE_READS	93
GSP2_14_RAW_READS	2754
GSP2_14_UNIQUE_READS_PERCENT	0.378
GSP2_14_UNIQUE_RNA_READS	0
GSP2_14_UNIQUE_RNA_READS_PERCENT	0.000
GSP2_14_UNIQUE_RNA_START_SITES	0
GSP2_14_UNIQUE_RNA_START_SITES_PERCENT	0.000
GSP2_14_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	0
GSP2_14_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	0
GSP2_14_UNIQUE_DNA_READS	39
GSP2_14_UNIQUE_DNA_READS_PERCENT	0.299
GSP2_14_UNIQUE_DNA_START_SITES	30
GSP2_14_UNIQUE_DNA_START_SITES_PERCENT	0.459
GSP2_14_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	149.897435897
GSP2_14_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	134
GSP2_14_UNIQUE_AMBIG_READS	54
GSP2_14_UNIQUE_AMBIG_READS_PERCENT	0.502
GSP2_14_UNIQUE_AMBIG_START_SITES	27
GSP2_14_UNIQUE_AMBIG_START_SITES_PERCENT	0.606
GSP2_14_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	59.2962962963
GSP2_14_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	58
GSP2_14_UNIQUE_START_SITES	57
GSP2_14_UNIQUE_START_SITES_PERCENT	0.538
GSP2_15_NAME	AR_chrX_66943507_28_+_A1_GSP2
GSP2_15_TYPE	TARGET
GSP2_15_UNIQUE_READS	122
GSP2_15_RAW_READS	1801
GSP2_15_UNIQUE_READS_PERCENT	0.496
GSP2_15_UNIQUE_RNA_READS	1
GSP2_15_UNIQUE_RNA_READS_PERCENT	0.127
GSP2_15_UNIQUE_RNA_START_SITES	1
GSP2_15_UNIQUE_RNA_START_SITES_PERCENT	0.141
GSP2_15_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	190.0
GSP2_15_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	190
GSP2_15_UNIQUE_DNA_READS	121
GSP2_15_UNIQUE_DNA_READS_PERCENT	0.927
GSP2_15_UNIQUE_DNA_START_SITES	57
GSP2_15_UNIQUE_DNA_START_SITES_PERCENT	0.872
GSP2_15_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	79.6033057851
GSP2_15_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	69
GSP2_15_UNIQUE_AMBIG_READS	0
GSP2_15_UNIQUE_AMBIG_READS_PERCENT	0.000
GSP2_15_UNIQUE_AMBIG_START_SITES	0
GSP2_15_UNIQUE_AMBIG_START_SITES_PERCENT	0.000
GSP2_15_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	0
GSP2_15_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	0
GSP2_15_UNIQUE_START_SITES	58
GSP2_15_UNIQUE_START_SITES_PERCENT	0.547
GSP2_16_NAME	AR_chrX_66943618_22_-_A1_GSP2
GSP2_16_TYPE	TARGET
GSP2_16_UNIQUE_READS	104
GSP2_16_RAW_READS	3099
GSP2_16_UNIQUE_READS_PERCENT	0.423
GSP2_16_UNIQUE_RNA_READS	2
GSP2_16_UNIQUE_RNA_READS_PERCENT	0.253
GSP2_16_UNIQUE_RNA_START_SITES	2
GSP2_16_UNIQUE_RNA_START_SITES_PERCENT	0.282
GSP2_16_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	192.0
GSP2_16_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	192.0
GSP2_16_UNIQUE_DNA_READS	11
GSP2_16_UNIQUE_DNA_READS_PERCENT	0.084
GSP2_16_UNIQUE_DNA_START_SITES	9
GSP2_16_UNIQUE_DNA_START_SITES_PERCENT	0.138
GSP2_16_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	214.363636364
GSP2_16_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	229
GSP2_16_UNIQUE_AMBIG_READS	91
GSP2_16_UNIQUE_AMBIG_READS_PERCENT	0.845
GSP2_16_UNIQUE_AMBIG_START_SITES	41
GSP2_16_UNIQUE_AMBIG_START_SITES_PERCENT	0.920
GSP2_16_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	62.1538461538
GSP2_16_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	59
GSP2_16_UNIQUE_START_SITES	52
GSP2_16_UNIQUE_START_SITES_PERCENT	0.491
GSP2_17_NAME	BRAF_chr7_140453110_21_+_A1_GSP2
GSP2_17_TYPE	TARGET
GSP2_17_UNIQUE_READS	199
GSP2_17_RAW_READS	7067
GSP2_17_UNIQUE_READS_PERCENT	0.809
GSP2_17_UNIQUE_RNA_READS	5
GSP2_17_UNIQUE_RNA_READS_PERCENT	0.634
GSP2_17_UNIQUE_RNA_START_SITES	5
GSP2_17_UNIQUE_RNA_START_SITES_PERCENT	0.706
GSP2_17_UNIQUE_RNA_MEAN_FRAGMENT_LENGTH	170.2
GSP2_17_UNIQUE_RNA_MEDIAN_FRAGMENT_LENGTH	120
GSP2_17_UNIQUE_DNA_READS	82
GSP2_17_UNIQUE_DNA_READS_PERCENT	0.628
GSP2_17_UNIQUE_DNA_START_SITES	53
GSP2_17_UNIQUE_DNA_START_SITES_PERCENT	0.810
GSP2_17_UNIQUE_DNA_MEAN_FRAGMENT_LENGTH	143.524390244
GSP2_17_UNIQUE_DNA_MEDIAN_FRAGMENT_LENGTH	121.5
GSP2_17_UNIQUE_AMBIG_READS	112
GSP2_17_UNIQUE_AMBIG_READS_PERCENT	1.040
GSP2_17_UNIQUE_AMBIG_START_SITES	41
GSP2_17_UNIQUE_AMBIG_START_SITES_PERCENT	0.920
GSP2_17_UNIQUE_AMBIG_MEAN_FRAGMENT_LENGTH	60.5625
GSP2_17_UNIQUE_AMBIG_MEDIAN_FRAGMENT_LENGTH	61
GSP2_17_UNIQUE_START_SITES	99
GSP2_17_UNIQUE_START_SITES_PERCENT	0.934
GSP2_18_NAME	BRAF_chr7_140453164_35_-_A1_GSP2
GSP2_18_TYPE	TARGET
GSP2_18_UNIQUE_READS	76
GSP2_18_RAW_READS	983
